id_colaborador,nome,sexo_biologico,idade,cargo,nota_desempenho,remuneracao
DIR000001,Théo Sales,Masculino,45,Diretor(a),Bom,29950.79
DIR000002,Isis Pinto,Feminino,45,Diretor(a),Bom,27261.07
DIR000003,Isabelly Garcia,Feminino,45,Diretor(a),Bom,25635.61
DIR000004,Nina Pereira,Feminino,45,Diretor(a),Excelente,27678.6
DIR000005,Otávio Azevedo,Masculino,46,Diretor(a),Excelente,32084.55
GER000006,João Pedro da Mata,Masculino,42,Gerente,Excelente,21656.81
GER000007,Lucas Gabriel Casa Grande,Masculino,43,Gerente,Bom,20017.92
GER000008,Laura Barbosa,Feminino,35,Gerente,Bom,18539.31
GER000009,Maysa Alves,Feminino,35,Gerente,Bom,19620.42
GER000010,Agatha Gomes,Feminino,43,Gerente,Bom,18821.0
GER000011,Benicio Sousa,Masculino,35,Gerente,Excelente,24275.9
GER000012,Natália Costa,Feminino,35,Gerente,Excelente,19355.62
GER000013,Ana Sophia Rezende,Feminino,35,Gerente,Bom,20112.06
GER000014,Guilherme das Neves,Masculino,52,Gerente,Excelente,21431.28
GER000015,Luiz Miguel Dias,Masculino,47,Gerente,Excelente,20909.93
GER000016,Marcos Vinicius Campos,Masculino,35,Gerente,Excelente,20307.46
GER000017,Raul Montenegro,Masculino,35,Gerente,Excelente,22309.59
GER000018,Heitor Campos,Masculino,43,Gerente,Bom,19823.03
GER000019,Thomas Gonçalves,Masculino,36,Gerente,Excelente,21737.33
GER000020,Noah Sousa,Masculino,35,Gerente,Excelente,20439.73
COO000021,Gabriela Vasconcelos,Feminino,40,Coordenador(a),Regular,15657.07
COO000022,Emanuel Pereira,Masculino,39,Coordenador(a),Regular,14867.74
COO000023,Pedro Garcia,Masculino,38,Coordenador(a),Bom,14740.45
COO000024,Theodoro Campos,Masculino,45,Coordenador(a),Regular,15275.54
COO000025,Isaac Sousa,Masculino,33,Coordenador(a),Excelente,16872.47
COO000026,Luana Lima,Feminino,46,Coordenador(a),Bom,14424.4
COO000027,Cauã da Rocha,Masculino,30,Coordenador(a),Excelente,19021.32
COO000028,Mathias Freitas,Masculino,44,Coordenador(a),Regular,16053.86
COO000029,Joana Gonçalves,Feminino,44,Coordenador(a),Bom,12663.54
COO000030,Luiz Otávio Barbosa,Masculino,30,Coordenador(a),Regular,13742.23
COO000031,Agatha Almeida,Feminino,30,Coordenador(a),Regular,15355.86
COO000032,Diogo Novais,Masculino,48,Coordenador(a),Excelente,18694.95
COO000033,Diogo Rezende,Masculino,49,Coordenador(a),Excelente,19205.64
COO000034,Emanuelly Fogaça,Feminino,30,Coordenador(a),Excelente,15430.48
COO000035,Evelyn da Mata,Feminino,30,Coordenador(a),Bom,15298.4
COO000036,Nina Alves,Feminino,40,Coordenador(a),Excelente,17760.83
COO000037,Yuri das Neves,Masculino,49,Coordenador(a),Regular,14085.38
COO000038,Matteo Santos,Masculino,30,Coordenador(a),Bom,17054.66
COO000039,Isabelly Novais,Feminino,30,Coordenador(a),Excelente,14785.15
COO000040,Davi Lucas Oliveira,Masculino,39,Coordenador(a),Excelente,17356.18
COO000041,Lorenzo Mendes,Masculino,43,Coordenador(a),Excelente,17885.32
COO000042,Erick Jesus,Masculino,34,Coordenador(a),Regular,15876.7
COO000043,Matheus Novaes,Masculino,44,Coordenador(a),Excelente,17812.33
COO000044,Larissa da Mota,Feminino,30,Coordenador(a),Regular,12834.55
COO000045,Benício Machado,Masculino,30,Coordenador(a),Bom,15215.75
COO000046,Maria Clara Melo,Feminino,30,Coordenador(a),Excelente,18340.05
COO000047,Matheus Brito,Masculino,38,Coordenador(a),Regular,14670.15
COO000048,Mateus Barbosa,Masculino,34,Coordenador(a),Excelente,19202.39
COO000049,Dante Peixoto,Masculino,30,Coordenador(a),Excelente,19405.2
COO000050,Kaique Novaes,Masculino,30,Coordenador(a),Bom,17336.44
COO000051,Letícia Cirino,Feminino,30,Coordenador(a),Bom,12853.6
COO000052,Ana Clara Macedo,Feminino,39,Coordenador(a),Regular,13757.11
COO000053,Maria Sophia Albuquerque,Feminino,43,Coordenador(a),Regular,12774.8
COO000054,Maria Laura Monteiro,Feminino,42,Coordenador(a),Regular,14620.95
COO000055,Ana Carolina Pereira,Feminino,30,Coordenador(a),Bom,15213.57
COO000056,Mirella Rios,Feminino,30,Coordenador(a),Regular,15290.39
COO000057,Gael Teixeira,Masculino,42,Coordenador(a),Bom,17578.87
COO000058,Otávio Rios,Masculino,43,Coordenador(a),Bom,14221.63
COO000059,Caleb Barros,Masculino,41,Coordenador(a),Excelente,15882.41
COO000060,Pietro Fonseca,Masculino,30,Coordenador(a),Excelente,16998.94
COO000061,Erick Melo,Masculino,30,Coordenador(a),Regular,13616.22
COO000062,Daniel Monteiro,Masculino,37,Coordenador(a),Bom,14031.26
COO000063,Luara da Luz,Feminino,35,Coordenador(a),Bom,13902.29
COO000064,Dante Vieira,Masculino,45,Coordenador(a),Bom,17714.96
COO000065,Gael Henrique Silva,Masculino,38,Coordenador(a),Excelente,16884.15
CON000066,Antony da Paz,Masculino,40,Consultor(a) de vendas,Regular,9317.13
CON000067,Luiz Felipe Sales,Masculino,38,Consultor(a) de vendas,Regular,9423.72
CON000068,Sophia Mendonça,Feminino,37,Consultor(a) de vendas,Regular,9409.15
CON000069,Rael Leão,Masculino,40,Consultor(a) de vendas,Bom,9315.77
CON000070,Helena Cavalcante,Feminino,31,Consultor(a) de vendas,Bom,10223.2
CON000071,Stephany Sales,Feminino,27,Consultor(a) de vendas,Bom,9060.64
CON000072,Vitor Hugo Ferreira,Masculino,38,Consultor(a) de vendas,Bom,11409.71
CON000073,Dante Pereira,Masculino,42,Consultor(a) de vendas,Regular,10351.52
CON000074,Maria Julia Andrade,Feminino,33,Consultor(a) de vendas,Bom,8459.2
CON000075,Amanda Abreu,Feminino,34,Consultor(a) de vendas,Bom,10394.31
CON000076,Lunna Rodrigues,Feminino,43,Consultor(a) de vendas,Bom,10143.22
CON000077,Bella da Cruz,Feminino,33,Consultor(a) de vendas,Bom,10175.35
CON000078,Rael Santos,Masculino,31,Consultor(a) de vendas,Regular,10335.12
CON000079,Leonardo Pereira,Masculino,46,Consultor(a) de vendas,Regular,11077.64
CON000080,Cauê Aparecida,Masculino,25,Consultor(a) de vendas,Regular,10715.42
CON000081,Catarina Porto,Feminino,25,Consultor(a) de vendas,Regular,8646.19
CON000082,Lavínia Cunha,Feminino,33,Consultor(a) de vendas,Bom,9272.51
CON000083,Pietro Farias,Masculino,42,Consultor(a) de vendas,Regular,9711.69
CON000084,Nicolas Pastor,Masculino,25,Consultor(a) de vendas,Excelente,11858.48
CON000085,Antony Nascimento,Masculino,33,Consultor(a) de vendas,Regular,9474.13
CON000086,Pedro Lucas Pereira,Masculino,31,Consultor(a) de vendas,Regular,10983.52
CON000087,Mariah Moura,Feminino,25,Consultor(a) de vendas,Regular,10559.19
CON000088,Juliana Correia,Feminino,39,Consultor(a) de vendas,Excelente,10693.58
CON000089,Clarice Silveira,Feminino,37,Consultor(a) de vendas,Insuficiente,8155.77
CON000090,Vitor Hugo Cunha,Masculino,37,Consultor(a) de vendas,Regular,10692.65
CON000091,Apollo da Mata,Masculino,32,Consultor(a) de vendas,Regular,10647.87
CON000092,Lorena Andrade,Feminino,25,Consultor(a) de vendas,Excelente,9045.02
CON000093,Bianca Ribeiro,Feminino,44,Consultor(a) de vendas,Bom,9605.73
CON000094,Ísis Martins,Feminino,36,Consultor(a) de vendas,Excelente,11428.18
CON000095,Eduarda Macedo,Feminino,25,Consultor(a) de vendas,Bom,9298.8
CON000096,Luigi Sousa,Masculino,44,Consultor(a) de vendas,Regular,9371.52
CON000097,Nicolas Barros,Masculino,36,Consultor(a) de vendas,Regular,11466.23
CON000098,Rodrigo Brito,Masculino,34,Consultor(a) de vendas,Bom,9438.45
CON000099,Nathan Ribeiro,Masculino,41,Consultor(a) de vendas,Regular,10036.29
CON000100,Ravy Souza,Masculino,30,Consultor(a) de vendas,Bom,10075.11
CON000101,Brayan Azevedo,Masculino,34,Consultor(a) de vendas,Bom,11680.17
CON000102,Raquel Vasconcelos,Feminino,31,Consultor(a) de vendas,Insuficiente,8840.65
CON000103,Pedro Henrique Carvalho,Masculino,32,Consultor(a) de vendas,Regular,11081.11
CON000104,Emanuel Nascimento,Masculino,44,Consultor(a) de vendas,Regular,11418.76
CON000105,Maria Pacheco,Feminino,49,Consultor(a) de vendas,Bom,8776.54
CON000106,Murilo Rios,Masculino,29,Consultor(a) de vendas,Bom,9474.32
CON000107,João Gabriel Duarte,Masculino,25,Consultor(a) de vendas,Bom,10465.96
CON000108,Olivia Castro,Feminino,25,Consultor(a) de vendas,Bom,10578.73
CON000109,Luiz Otávio Duarte,Masculino,35,Consultor(a) de vendas,Bom,9458.37
CON000110,Vitor Moura,Masculino,30,Consultor(a) de vendas,Regular,10718.04
CON000111,Caio Araújo,Masculino,39,Consultor(a) de vendas,Excelente,10490.76
CON000112,Miguel da Paz,Masculino,38,Consultor(a) de vendas,Bom,10513.41
CON000113,Maria Helena Pires,Feminino,25,Consultor(a) de vendas,Regular,8286.93
CON000114,Ana Julia Montenegro,Feminino,25,Consultor(a) de vendas,Insuficiente,9176.91
CON000115,Maria Cecília da Cunha,Feminino,33,Consultor(a) de vendas,Insuficiente,8658.41
CON000116,Manuela Cirino,Feminino,31,Consultor(a) de vendas,Regular,10303.23
CON000117,Ágatha Aparecida,Feminino,26,Consultor(a) de vendas,Bom,9936.23
CON000118,João Pedro da Cruz,Masculino,25,Consultor(a) de vendas,Bom,9349.21
CON000119,Carolina Sales,Feminino,35,Consultor(a) de vendas,Regular,10422.44
CON000120,Fernando Duarte,Masculino,50,Consultor(a) de vendas,Regular,10646.53
CON000121,Maria Flor Andrade,Feminino,33,Consultor(a) de vendas,Regular,10940.47
CON000122,Melissa Pastor,Feminino,25,Consultor(a) de vendas,Bom,10046.53
CON000123,Antony Ferreira,Masculino,37,Consultor(a) de vendas,Bom,10001.79
CON000124,Vinicius Pires,Masculino,25,Consultor(a) de vendas,Regular,8940.94
CON000125,Vitor Gabriel da Cruz,Masculino,48,Consultor(a) de vendas,Bom,11285.57
CON000126,Luiz Fernando Barbosa,Masculino,38,Consultor(a) de vendas,Regular,8916.3
CON000127,Stephany Sampaio,Feminino,25,Consultor(a) de vendas,Insuficiente,10358.45
CON000128,Maria Fernanda Freitas,Feminino,27,Consultor(a) de vendas,Regular,10085.35
CON000129,Luiz Henrique Azevedo,Masculino,42,Consultor(a) de vendas,Bom,9679.47
CON000130,Luiz Gustavo Porto,Masculino,34,Consultor(a) de vendas,Bom,11779.29
CON000131,Ravy Sá,Masculino,34,Consultor(a) de vendas,Excelente,12166.31
CON000132,José Pedro Fonseca,Masculino,25,Consultor(a) de vendas,Regular,9905.07
CON000133,Danilo Sá,Masculino,43,Consultor(a) de vendas,Regular,9738.17
CON000134,Davi Lucas Jesus,Masculino,31,Consultor(a) de vendas,Bom,11289.03
CON000135,Lunna Costela,Feminino,25,Consultor(a) de vendas,Bom,10598.31
CON000136,Yuri Guerra,Masculino,33,Consultor(a) de vendas,Excelente,11821.23
CON000137,Bernardo Rocha,Masculino,47,Consultor(a) de vendas,Insuficiente,9115.66
CON000138,Aurora Freitas,Feminino,26,Consultor(a) de vendas,Regular,10424.9
CON000139,Marcos Vinicius Borges,Masculino,54,Consultor(a) de vendas,Bom,10628.08
CON000140,Amanda Mendonça,Feminino,34,Consultor(a) de vendas,Insuficiente,9138.67
CON000141,Elisa Almeida,Feminino,33,Consultor(a) de vendas,Regular,10362.73
CON000142,Joaquim Fonseca,Masculino,36,Consultor(a) de vendas,Regular,11434.54
CON000143,Renan Guerra,Masculino,36,Consultor(a) de vendas,Regular,10399.79
CON000144,Ian Araújo,Masculino,34,Consultor(a) de vendas,Regular,10747.81
CON000145,Asafe Sales,Masculino,34,Consultor(a) de vendas,Bom,11647.28
CON000146,Alexandre da Paz,Masculino,42,Consultor(a) de vendas,Regular,9584.48
CON000147,Mirella Oliveira,Feminino,25,Consultor(a) de vendas,Regular,9384.69
CON000148,Antônio Pastor,Masculino,26,Consultor(a) de vendas,Excelente,12714.83
CON000149,Erick Sales,Masculino,26,Consultor(a) de vendas,Bom,9112.89
CON000150,Gael Henrique Carvalho,Masculino,57,Consultor(a) de vendas,Bom,9707.37
CON000151,Maria Isis Rocha,Feminino,35,Consultor(a) de vendas,Bom,9125.19
CON000152,Gael Barbosa,Masculino,40,Consultor(a) de vendas,Bom,9916.51
CON000153,Gael Freitas,Masculino,26,Consultor(a) de vendas,Regular,10645.48
CON000154,Enrico Leão,Masculino,43,Consultor(a) de vendas,Bom,11741.1
CON000155,Eloá Mendonça,Feminino,29,Consultor(a) de vendas,Bom,10307.58
CON000156,Diogo Silveira,Masculino,39,Consultor(a) de vendas,Insuficiente,10911.24
CON000157,Mariana Fogaça,Feminino,25,Consultor(a) de vendas,Regular,10113.35
CON000158,Ana Vitória Silveira,Feminino,32,Consultor(a) de vendas,Bom,9248.77
CON000159,João Pedro Sá,Masculino,33,Consultor(a) de vendas,Bom,11297.85
CON000160,Sofia Vargas,Feminino,25,Consultor(a) de vendas,Regular,9998.25
CON000161,Antônio Alves,Masculino,44,Consultor(a) de vendas,Regular,11277.51
CON000162,Mariana Nogueira,Feminino,25,Consultor(a) de vendas,Bom,9109.04
CON000163,Emilly Dias,Feminino,36,Consultor(a) de vendas,Insuficiente,9649.63
CON000164,Matheus da Luz,Masculino,44,Consultor(a) de vendas,Regular,9525.32
CON000165,Bernardo Porto,Masculino,28,Consultor(a) de vendas,Regular,9283.77
CON000166,Maria Fernanda Souza,Feminino,25,Consultor(a) de vendas,Bom,9229.01
CON000167,Anthony Correia,Masculino,35,Consultor(a) de vendas,Bom,10929.57
CON000168,Luan Ferreira,Masculino,40,Consultor(a) de vendas,Bom,10874.37
CON000169,Luiz Gustavo Freitas,Masculino,35,Consultor(a) de vendas,Excelente,11646.45
CON000170,Ísis Siqueira,Feminino,34,Consultor(a) de vendas,Excelente,10754.19
CON000171,Mariana Araújo,Feminino,48,Consultor(a) de vendas,Bom,11098.01
CON000172,Lucca Pastor,Masculino,32,Consultor(a) de vendas,Regular,10638.47
CON000173,Gustavo Gonçalves,Masculino,25,Consultor(a) de vendas,Excelente,9997.2
CON000174,Henry Silveira,Masculino,45,Consultor(a) de vendas,Excelente,10132.97
CON000175,Alana Cirino,Feminino,47,Consultor(a) de vendas,Insuficiente,9552.79
CON000176,Liam da Conceição,Masculino,41,Consultor(a) de vendas,Excelente,12205.56
CON000177,Maria Helena Correia,Feminino,25,Consultor(a) de vendas,Regular,9585.12
CON000178,Renan Sampaio,Masculino,36,Consultor(a) de vendas,Regular,11481.41
CON000179,Emanuelly Sales,Feminino,25,Consultor(a) de vendas,Insuficiente,8188.52
CON000180,Gael Henrique Porto,Masculino,43,Consultor(a) de vendas,Regular,9716.89
CON000181,Ravi Albuquerque,Masculino,25,Consultor(a) de vendas,Bom,12072.46
CON000182,Vinicius Barros,Masculino,34,Consultor(a) de vendas,Insuficiente,9649.21
CON000183,Emilly Rios,Feminino,25,Consultor(a) de vendas,Bom,9644.78
CON000184,Fernanda Pacheco,Feminino,31,Consultor(a) de vendas,Regular,9789.93
CON000185,Thales Correia,Masculino,33,Consultor(a) de vendas,Bom,10534.89
CON000186,Isabella Pimenta,Feminino,32,Consultor(a) de vendas,Regular,10720.13
CON000187,Alice Dias,Feminino,30,Consultor(a) de vendas,Regular,9389.17
CON000188,Rafaela Mendonça,Feminino,25,Consultor(a) de vendas,Regular,10670.41
CON000189,Davi Luiz Vargas,Masculino,43,Consultor(a) de vendas,Regular,10738.28
CON000190,Benicio Machado,Masculino,37,Consultor(a) de vendas,Bom,11354.96
CON000191,Liam Abreu,Masculino,27,Consultor(a) de vendas,Bom,10759.7
